hotspot_id,name,locality_area,zone,severity_tier,latitude,longitude,road_type,commute_relevance,data_confidence,source_note,coordinates_verified,rainfall_threshold_mm_per_hr,time_to_flood_after_threshold_min,typical_drain_time_hr,drainage_capacity_score
FCG-045,DLF Phase 1 Internal Road,Central Gurugram,Zone 1,minor,28.479,77.092,internal road,Medium,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",40.8,117,1.1,0.67
FCG-046,DLF Phase 4 (Galleria Market),Central Gurugram,Zone 1,minor,28.47,77.1,commercial internal road,Medium,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",45.1,120,0.8,0.73
FCG-047,Palam Vihar Main Market,West Gurugram,Zone 1,minor,28.502,76.997,sector market road,Medium,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",46.2,95,1.1,0.66
FCG-048,South City 1 Internal Road,Central Gurugram,Zone 2,minor,28.446,77.048,internal road,Low,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",48.7,94,1.0,0.82
FCG-049,Sector 14 Market,Old Gurugram,Zone 1,minor,28.474,77.028,sector market road,Medium,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",44.3,94,0.8,0.73
FCG-050,Sector 17 Market,Old Gurugram,Zone 1,minor,28.477,77.048,sector market road,Medium,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",49.2,99,0.5,0.82
FCG-051,Sector 22 (near HUDA),Old Gurugram,Zone 1,minor,28.464,77.033,sector internal,Low,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",46.8,124,1.3,0.8
FCG-052,Sector 23A Industrial Area,Old Gurugram,Zone 1,minor,28.49,77.018,industrial road,Medium,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",52.9,109,0.7,0.65
FCG-053,Sector 31 Market,Old Gurugram,Zone 1,minor,28.452,77.03,sector market road,Low,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",45.9,126,1.1,0.83
FCG-054,Sector 40 (near Golf Course Rd),Central Gurugram,Zone 2,minor,28.446,77.09,sector internal,Low,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",52.4,119,0.6,0.75
FCG-055,Sector 45,South-Central Gurugram,Zone 2,minor,28.434,77.087,sector internal,Low,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",53.8,142,1.2,0.78
FCG-056,Sector 46 (Sohna Road belt),South Gurugram,Zone 2,minor,28.421,77.068,sector internal,Low,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",52.4,131,1.1,0.73
FCG-057,Sector 57 (near Golf Course Ext Rd),South-East Gurugram,Zone 2,minor,28.418,77.09,sector internal,Medium,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",46.0,119,1.4,0.78
FCG-058,Sector 82 (Dwarka Expressway belt),New Gurugram,Zone 2,minor,28.497,76.998,"sector internal, under development",Low,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",52.4,120,1.0,0.79
FCG-059,Sector 109 (Dwarka Expressway belt),New Gurugram,Zone 2,minor,28.51,77.03,"sector internal, under development",Low,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",50.4,103,1.4,0.69
FCG-060,Manesar Chowk,Manesar (South-West edge of city),Zone 2,minor,28.355,76.935,industrial town junction,Medium,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",49.9,111,0.8,0.85
FCG-061,Kherki Daula Toll Plaza,"NH-48, South-West edge of city",Zone 2,minor,28.39,76.97,NH-48 toll plaza,High,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",50.2,107,1.2,0.8
FCG-062,Sector 105 (Dwarka Expressway belt),New Gurugram,Zone 2,minor,28.508,76.99,"sector internal, under development",Low,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",45.4,145,1.5,0.7
FCG-063,IMT Manesar Main Road,Manesar industrial belt,Zone 2,minor,28.37,76.96,industrial arterial,Medium,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",51.0,102,0.7,0.8
FCG-064,Sector 56 Extension,South-East Gurugram,Zone 2,minor,28.427,77.108,sector internal,Low,plausible_real_unconfirmed_flood_status,"Real, verifiable Gurugram locality; flood risk is a plausible, UNCONFIRMED estimate based on proximity to known-bad corridors, not a cited source","No — approximate, verify before production use",54.2,119,0.8,0.71
